"sk_employee","sk_time","total_achieved_task_count","avg_achievement_gap","avg_performance_percentage","total_working_hours","total_working_day","total_permission_day","total_absent_day","grade_code","months_of_service","is_overdue","next_grade_code","next_salary","next_promotion_duration"
"51","62","0","1","98.8800000000000000","8","1","0","0","GRD003","99","1","GRD004","12000000","48"
"46","57","0","2","97.8900000000000000","9","1","0","0","GRD003","30","0","GRD003","8000000","36"
"67","78","1","0","100.0000000000000000","9","1","0","0","GRD005","95","1","GRD005","15000000","60"
"81","95","0","8","90.0000000000000000","9","1","0","0","GRD002","87","1","GRD003","8000000","36"
"73","87","0","5","94.4400000000000000","8","1","0","0","GRD003","116","1","GRD004","12000000","48"
"38","48","0","5","94.7400000000000000","10","1","0","0","GRD003","26","0","GRD003","8000000","36"
"33","42","0","10","89.1300000000000000","10","1","0","0","GRD001","99","1","GRD002","5000000","24"
"30","39","0","9","88.7500000000000000","9","1","0","0","GRD001","109","1","GRD002","5000000","24"
"48","59","0","1","98.8800000000000000","9","1","0","0","GRD005","62","1","GRD005","15000000","60"
"42","52","0","2","97.8300000000000000","9","1","0","0","GRD004","74","1","GRD005","15000000","60"
"84","98","0","1","98.9900000000000000","9","1","0","0","GRD001","62","1","GRD002","5000000","24"
"76","90","1","0","100.0000000000000000","9","1","0","0","GRD003","43","1","GRD004","12000000","48"
"21","28","0","6","94.0000000000000000","10","1","0","0","GRD004","117","1","GRD005","15000000","60"
"25","34","0","9","89.7700000000000000","10","1","0","0","GRD001","116","1","GRD002","5000000","24"
"20","27","1","0","100.0000000000000000","9","1","0","0","GRD001","88","1","GRD002","5000000","24"
"12","16","0","8","90.1200000000000000","9","1","0","0","GRD004","112","1","GRD005","15000000","60"
"4","5","0","2","97.7500000000000000","9","1","0","0","GRD003","92","1","GRD004","12000000","48"
"52","63","0","3","96.7000000000000000","10","1","0","0","GRD005","66","1","GRD005","15000000","60"
"49","60","0","7","92.6300000000000000","8","1","0","0","GRD002","19","0","GRD002","5000000","24"
"66","77","0","4","95.3500000000000000","9","1","0","0","GRD001","45","1","GRD002","5000000","24"
"27","36","0","6","93.2600000000000000","9","1","0","0","GRD004","14","0","GRD004","12000000","48"
"10","13","0","5","93.9000000000000000","8","1","0","0","GRD002","93","1","GRD003","8000000","36"
"80","94","0","5","94.6800000000000000","9","1","0","0","GRD001","92","1","GRD002","5000000","24"
"70","83","0","3","96.3400000000000000","9","1","0","0","GRD004","90","1","GRD005","15000000","60"
"64","75","0","6","92.7700000000000000","9","1","0","0","GRD001","118","1","GRD002","5000000","24"
"58","69","0","3","96.8800000000000000","8","1","0","0","GRD005","38","0","GRD005","15000000","60"
"54","65","0","10","88.1000000000000000","9","1","0","0","GRD005","120","1","GRD005","15000000","60"
"97","111","1","0","100.0000000000000000","9","1","0","0","GRD002","26","1","GRD003","8000000","36"
"79","93","0","3","96.7400000000000000","8","1","0","0","GRD005","103","1","GRD005","15000000","60"
"26","35","0","7","92.8600000000000000","9","1","0","0","GRD003","14","0","GRD003","8000000","36"
"13","17","0","5","93.7500000000000000","9","1","0","0","GRD005","100","1","GRD005","15000000","60"
"99","114","0","10","89.3600000000000000","9","1","0","0","GRD004","17","0","GRD004","12000000","48"
"28","37","1","0","100.0000000000000000","9","1","0","0","GRD002","54","1","GRD003","8000000","36"
"44","54","0","1","98.8500000000000000","10","1","0","0","GRD005","105","1","GRD005","15000000","60"
"93","107","0","4","95.4000000000000000","9","1","0","0","GRD001","70","1","GRD002","5000000","24"
"16","22","0","4","95.6500000000000000","9","1","0","0","GRD001","62","1","GRD002","5000000","24"
"31","40","0","10","88.7600000000000000","9","1","0","0","GRD002","118","1","GRD003","8000000","36"
"82","96","0","6","93.6200000000000000","9","1","0","0","GRD003","15","0","GRD003","8000000","36"
"86","100","0","5","93.9800000000000000","9","1","0","0","GRD002","48","1","GRD003","8000000","36"
"96","110","0","5","94.3200000000000000","9","1","0","0","GRD003","108","1","GRD004","12000000","48"
"59","70","0","3","96.5900000000000000","9","1","0","0","GRD005","58","0","GRD005","15000000","60"
"91","105","1","0","100.0000000000000000","9","1","0","0","GRD004","117","1","GRD005","15000000","60"
"88","102","0","1","98.8200000000000000","8","1","0","0","GRD005","112","1","GRD005","15000000","60"
"87","101","0","3","96.9700000000000000","9","1","0","0","GRD002","34","1","GRD003","8000000","36"
"36","45","0","10","89.4700000000000000","9","1","0","0","GRD003","11","0","GRD003","8000000","36"
"37","47","0","5","94.5700000000000000","8","1","0","0","GRD001","100","1","GRD002","5000000","24"
"15","20","0","1","99.0000000000000000","9","1","0","0","GRD001","90","1","GRD002","5000000","24"
"14","19","0","3","96.3900000000000000","9","1","0","0","GRD005","48","0","GRD005","15000000","60"
"35","44","0","4","95.5600000000000000","8","1","0","0","GRD003","13","0","GRD003","8000000","36"
"3","3","0","9","89.0200000000000000","8","1","0","0","GRD002","105","1","GRD003","8000000","36"
"39","49","0","8","91.3000000000000000","9","1","0","0","GRD002","111","1","GRD003","8000000","36"
"50","61","1","0","100.0000000000000000","9","1","0","0","GRD001","61","1","GRD002","5000000","24"
"34","43","0","1","98.8500000000000000","8","1","0","0","GRD003","90","1","GRD004","12000000","48"
"92","106","0","4","95.5600000000000000","10","1","0","0","GRD001","97","1","GRD002","5000000","24"
"8","11","0","5","94.3800000000000000","8","1","0","0","GRD005","6","0","GRD005","15000000","60"
"17","24","0","5","94.6800000000000000","8","1","0","0","GRD001","42","1","GRD002","5000000","24"
"22","30","0","7","92.4700000000000000","9","1","0","0","GRD003","10","0","GRD003","8000000","36"
"55","66","0","1","98.8800000000000000","8","1","0","0","GRD003","76","1","GRD004","12000000","48"
"77","91","1","0","100.0000000000000000","9","1","0","0","GRD005","112","1","GRD005","15000000","60"
"19","26","0","8","90.0000000000000000","9","1","0","0","GRD002","29","1","GRD003","8000000","36"
"65","76","0","9","90.0000000000000000","10","1","0","0","GRD005","16","0","GRD005","15000000","60"
"29","38","0","8","90.1200000000000000","9","1","0","0","GRD003","100","1","GRD004","12000000","48"
"78","92","0","9","90.9100000000000000","9","1","0","0","GRD003","83","1","GRD004","12000000","48"
"68","80","1","0","100.0000000000000000","9","1","0","0","GRD003","82","1","GRD004","12000000","48"
"7","10","0","1","98.9600000000000000","10","1","0","0","GRD004","20","0","GRD004","12000000","48"
"1","1","0","6","92.5900000000000000","9","1","0","0","GRD001","60","1","GRD002","5000000","24"
"56","67","0","6","93.4800000000000000","9","1","0","0","GRD005","2","0","GRD005","15000000","60"
"94","108","1","0","100.0000000000000000","9","1","0","0","GRD003","96","1","GRD004","12000000","48"
"61","72","0","5","94.7400000000000000","9","1","0","0","GRD003","14","0","GRD003","8000000","36"
"75","89","0","3","96.9400000000000000","9","1","0","0","GRD003","75","1","GRD004","12000000","48"
"32","41","0","5","93.7500000000000000","8","1","0","0","GRD003","103","1","GRD004","12000000","48"
"74","88","0","9","90.6200000000000000","9","1","0","0","GRD001","113","1","GRD002","5000000","24"
"18","25","0","10","88.8900000000000000","9","1","0","0","GRD005","54","0","GRD005","15000000","60"
"6","8","0","5","95.0000000000000000","9","1","0","0","GRD005","84","1","GRD005","15000000","60"
"5","6","0","4","95.0600000000000000","10","1","0","0","GRD003","20","0","GRD003","8000000","36"
"72","85","0","5","94.5100000000000000","10","1","0","0","GRD004","33","0","GRD004","12000000","48"
"45","55","1","0","100.0000000000000000","8","1","0","0","GRD004","62","1","GRD005","15000000","60"
"9","12","0","5","93.9000000000000000","9","1","0","0","GRD005","54","0","GRD005","15000000","60"
"62","73","1","0","100.0000000000000000","9","1","0","0","GRD002","82","1","GRD003","8000000","36"
"24","32","0","6","93.3300000000000000","9","1","0","0","GRD001","93","1","GRD002","5000000","24"
"43","53","0","6","93.9400000000000000","8","1","0","0","GRD003","78","1","GRD004","12000000","48"
"63","74","0","9","89.4100000000000000","9","1","0","0","GRD003","109","1","GRD004","12000000","48"
"53","64","0","3","96.8400000000000000","9","1","0","0","GRD002","16","0","GRD002","5000000","24"
"98","112","0","1","98.7800000000000000","9","1","0","0","GRD003","54","1","GRD004","12000000","48"
"90","104","1","0","100.0000000000000000","9","1","0","0","GRD003","95","1","GRD004","12000000","48"
"2","2","0","9","90.6200000000000000","9","1","0","0","GRD005","46","0","GRD005","15000000","60"
"85","99","0","8","91.2100000000000000","9","1","0","0","GRD005","70","1","GRD005","15000000","60"
"83","97","0","1","98.8800000000000000","9","1","0","0","GRD002","85","1","GRD003","8000000","36"
"69","81","0","9","89.4100000000000000","0","0","0","1","GRD005","120","1","GRD005","15000000","60"
"60","71","0","3","96.9400000000000000","9","1","0","0","GRD004","73","1","GRD005","15000000","60"
"41","51","0","4","95.1800000000000000","9","1","0","0","GRD002","14","0","GRD002","5000000","24"
"23","31","0","8","91.4900000000000000","9","1","0","0","GRD005","96","1","GRD005","15000000","60"
"100","115","0","7","92.9300000000000000","8","1","0","0","GRD002","114","1","GRD003","8000000","36"
"95","109","0","6","93.4800000000000000","9","1","0","0","GRD005","39","0","GRD005","15000000","60"
"89","103","0","10","89.5800000000000000","10","1","0","0","GRD005","115","1","GRD005","15000000","60"
"71","84","0","9","90.7200000000000000","10","1","0","0","GRD005","38","0","GRD005","15000000","60"
"40","50","0","2","97.8900000000000000","8","1","0","0","GRD003","56","1","GRD004","12000000","48"
"57","68","0","4","95.6000000000000000","9","1","0","0","GRD003","98","1","GRD004","12000000","48"
"47","58","0","8","91.3000000000000000","9","1","0","0","GRD004","18","0","GRD004","12000000","48"
"11","15","0","1","98.9500000000000000","8","1","0","0","GRD005","68","1","GRD005","15000000","60"
